N	num_bits	den_bits	v5_den	v239_den
121	16659	16659	1335	1457
122	16786	16788	1345	1469
123	16929	16929	1356	1481
124	17090	17092	1367	1493
125	17228	17229	1378	1505
126	17368	17369	1390	1517
127	17494	17497	1400	1529
128	17628	17628	1411	1541
129	17779	17780	1422	1553
130	17910	17911	1433	1565
131	18053	18057	1446	1577
132	18194	18194	1455	1589
133	18336	18336	1466	1601
134	18486	18488	1477	1613
135	18628	18630	1488	1625
136	18772	18774	1500	1637
137	18890	18892	1510	1649
138	19023	19023	1521	1661
139	19181	19183	1532	1674
140	19294	19295	1543	1685
141	19438	19439	1555	1697
142	19578	19579	1565	1709
143	19710	19710	1576	1721
144	19850	19852	1587	1733
145	19979	19983	1598	1745
146	20127	20127	1610	1757
147	20253	20256	1620	1769
148	20385	20387	1631	1781
149	20540	20540	1642	1793
150	20674	20675	1653	1805
151	20806	20806	1665	1817
152	20932	20935	1675	1829
153	21063	21066	1686	1841
154	21205	21207	1697	1853
155	21338	21338	1708	1865
156	21510	21512	1723	1877
157	21643	21644	1730	1889
158	21771	21776	1741	1901
159	21909	21911	1752	1913
160	22024	22025	1763	1925
161	22168	22169	1775	1937
162	22295	22298	1785	1949
163	22424	22429	1796	1961
164	22559	22561	1807	1973
165	22691	22692	1818	1985
166	22837	22843	1830	1997
167	22981	22983	1840	2009
168	23125	23125	1851	2021
169	23271	23272	1862	2033
170	23403	23403	1873	2045
171	23536	23537	1885	2057
172	23675	23677	1895	2069
173	23805	23808	1906	2081
174	23959	23962	1917	2093
175	24089	24093	1928	2105
176	24237	24238	1940	2117
177	24375	24376	1951	2129
178	24527	24527	1961	2141
179	24670	24670	1972	2153
180	24808	24808	1983	2165
181	24932	24933	1996	2177
182	25060	25062	2005	2189
183	25185	25186	2016	2201
184	25343	25345	2027	2213
185	25475	25476	2038	2225
186	25610	25610	2050	2237
187	25749	25750	2060	2249
188	25882	25882	2071	2261
189	26028	26028	2082	2273
190	26159	26160	2093	2285
191	26309	26310	2105	2297
192	26439	26439	2115	2309
193	26569	26571	2126	2321
194	26697	26702	2137	2333
195	26843	26845	2148	2345
196	27001	27001	2160	2357
197	27117	27119	2170	2369
198	27273	27273	2181	2381
199	27427	27427	2192	2393
200	27560	27562	2203	2405
201	27701	27702	2215	2417
202	27828	27829	2224	2429
203	27974	27975	2236	2441
204	28116	28117	2247	2453
205	28245	28248	2258	2465
206	28404	28407	2271	2477
207	28523	28523	2280	2489
208	28643	28643	2291	2501
209	28774	28775	2302	2513
210	28906	28907	2313	2525
211	29044	29045	2325	2537
212	29196	29197	2335	2549
213	29340	29340	2346	2561
214	29466	29467	2357	2573
215	29597	29599	2368	2585
216	29743	29744	2380	2597
217	29873	29874	2390	2609
218	30016	30017	2401	2621
219	30146	30148	2412	2633
220	30267	30269	2423	2645
221	30414	30414	2435	2657
222	30554	30555	2445	2669
223	30698	30698	2456	2681
224	30863	30864	2467	2693
225	30995	30996	2478	2705
226	31152	31153	2490	2717
227	31293	31294	2500	2729
228	31435	31437	2511	2741
229	31578	31580	2522	2753
230	31699	31700	2533	2765
231	31848	31848	2546	2777
232	31975	31975	2555	2789
233	32129	32130	2566	2801
234	32267	32268	2577	2813
235	32399	32399	2588	2825
236	32543	32545	2600	2837
237	32672	32674	2610	2849
238	32829	32829	2621	2861
239	32949	32950	2632	2873
240	33080	33081	2643	2885
241	33227	33227	2655	2897
242	33365	33368	2665	2909
243	33498	33500	2676	2921
244	33626	33632	2687	2933
245	33761	33764	2698	2945
246	33909	33910	2710	2957
247	34047	34051	2720	2969
248	34182	34183	2731	2981
249	34300	34303	2742	2993
250	34445	34446	2753	3005
251	34574	34574	2765	3017
252	34715	34716	2775	3029
253	34858	34859	2786	3041
254	34991	34991	2797	3053
255	35122	35123	2808	3065
256	35259	35260	2821	3077
257	35410	35410	2830	3089
258	35530	35530	2841	3101
259	35660	35662	2852	3113
260	35804	35806	2863	3125
261	35939	35940	2875	3137
262	36064	36064	2885	3149
263	36180	36185	2896	3161
264	36338	36340	2907	3173
265	36471	36472	2918	3185
266	36618	36618	2930	3197
267	36758	36759	2940	3209
268	36900	36903	2951	3221
269	37030	37035	2962	3233
270	37148	37149	2973	3245
271	37306	37307	2985	3257
272	37435	37436	2995	3269
273	37567	37568	3006	3281
274	37687	37689	3017	3293
275	37832	37832	3028	3305
276	37978	37978	3040	3317
277	38130	38132	3050	3329
278	38263	38264	3061	3341
279	38405	38407	3072	3353
280	38548	38551	3083	3365
281	38700	38702	3097	3377
282	38826	38827	3105	3389
283	38965	38965	3116	3401
284	39108	39109	3127	3413
285	39229	39230	3138	3425
286	39360	39364	3150	3437
287	39493	39494	3160	3449
288	39636	39638	3171	3461
289	39793	39793	3182	3473
290	39914	39919	3193	3485
291	40052	40054	3205	3497
292	40183	40184	3215	3509
293	40328	40328	3226	3521
294	40481	40483	3237	3533
295	40626	40627	3248	3545
296	40771	40774	3260	3557
297	40901	40903	3270	3569
298	41047	41047	3281	3581
299	41190	41191	3292	3593
300	41311	41312	3303	3605
301	41468	41470	3315	3617
302	41601	41602	3326	3629
303	41743	41744	3336	3641
304	41876	41876	3347	3653
305	42007	42008	3358	3665
306	42161	42169	3371	3677
307	42280	42284	3380	3689
308	42440	42440	3391	3701
309	42572	42572	3402	3713
310	42707	42710	3413	3725
311	42856	42857	3425	3737
312	42985	42987	3435	3749
313	43116	43119	3446	3761
314	43262	43263	3457	3773
315	43395	43395	3468	3785
316	43542	43542	3480	3797
317	43671	43672	3490	3809
318	43801	43804	3501	3821
319	43948	43948	3512	3833
320	44067	44069	3523	3845
321	44227	44227	3535	3857
322	44357	44357	3545	3869
323	44498	44501	3556	3881
324	44632	44633	3567	3893
325	44751	44754	3578	3905
326	44909	44912	3590	3917
327	45064	45064	3599	3929
328	45196	45198	3611	3941
329	45339	45343	3622	3953
330	45463	45463	3633	3965
331	45599	45600	3646	3977
332	45726	45727	3655	3989
333	45856	45856	3666	4001
334	46011	46013	3677	4013
335	46157	46157	3688	4025
336	46290	46292	3700	4037
337	46421	46422	3710	4049
338	46558	46559	3721	4061
339	46695	46698	3732	4073
340	46830	46831	3743	4085
341	46975	46977	3755	4097
342	47107	47107	3765	4109
343	47229	47232	3776	4121
344	47388	47389	3787	4133
345	47519	47521	3798	4145
346	47667	47668	3810	4157
347	47796	47798	3820	4169
348	47929	47930	3831	4181
349	48050	48050	3842	4193
350	48182	48183	3853	4205
351	48329	48330	3865	4217
352	48472	48472	3875	4229
353	48614	48616	3886	4241
354	48760	48761	3897	4253
355	48905	48905	3908	4265
356	49049	49054	3921	4277
357	49193	49194	3930	4289
358	49326	49326	3941	4301
359	49437	49447	3952	4313
360	49561	49567	3963	4325
361	49711	49714	3975	4337
362	49853	49856	3985	4349
363	49987	49989	3996	4361
364	50131	50133	4007	4373
365	50249	50253	4018	4385
366	50399	50400	4030	4397
367	50529	50530	4040	4409
368	50659	50663	4051	4421
369	50795	50795	4062	4433
370	50927	50928	4073	4445
371	51087	51087	4085	4457
372	51217	51217	4095	4469
373	51355	51357	4106	4481
374	51503	51508	4117	4493
375	51627	51628	4128	4505
376	51787	51787	4140	4517
377	51929	51929	4150	4529
378	52057	52058	4161	4542
379	52192	52194	4172	4553
380	52324	52327	4183	4565
381	52463	52464	4196	4577
382	52592	52592	4205	4589
383	52735	52737	4216	4601
384	52866	52869	4227	4613
385	53001	53002	4238	4625
386	53136	53137	4250	4637
387	53291	53291	4260	4649
388	53435	53436	4271	4661
389	53578	53581	4282	4673
390	53713	53713	4293	4685
391	53847	53848	4305	4697
392	53976	53978	4315	4709
393	54110	54111	4326	4721
394	54265	54268	4337	4733
395	54386	54388	4348	4745
396	54522	54523	4360	4757
397	54650	54653	4370	4769
398	54774	54774	4381	4781
399	54942	54943	4392	4793
400	55086	55088	4403	4805
401	55233	55235	4415	4817
402	55349	55353	4425	4829
403	55485	55485	4436	4841
404	55605	55606	4447	4853
405	55737	55738	4458	4865
406	55890	55890	4472	4877
407	56011	56016	4480	4889
408	56135	56136	4491	4901
409	56278	56278	4502	4913
410	56410	56411	4513	4925
411	56570	56570	4525	4937
412	56700	56701	4535	4949
413	56839	56839	4546	4961
414	56995	56996	4557	4973
415	57116	57116	4568	4985
416	57261	57263	4580	4997
417	57418	57418	4590	5009
418	57562	57563	4601	5021
419	57694	57696	4612	5033
420	57831	57835	4623	5045
421	57970	57970	4635	5057
422	58098	58100	4645	5069
423	58243	58245	4656	5081
424	58378	58378	4667	5093
425	58522	58523	4678	5105
426	58667	58670	4690	5117
427	58807	58809	4701	5129
428	58927	58927	4711	5141
429	59071	59072	4722	5153
430	59193	59193	4733	5165
431	59340	59343	4746	5177
432	59483	59483	4755	5189
433	59614	59616	4766	5201
434	59753	59755	4777	5213
435	59875	59876	4788	5225
436	60045	60048	4800	5237
437	60157	60159	4810	5249
438	60291	60292	4821	5261
439	60424	60424	4832	5273
440	60568	60570	4843	5285
441	60701	60705	4855	5297
442	60843	60847	4865	5309
443	60967	60968	4876	5321
444	61116	61119	4887	5333
445	61237	61239	4898	5345
446	61387	61387	4910	5357
447	61504	61505	4920	5369
448	61637	61638	4931	5381
449	61782	61783	4942	5393
450	61912	61915	4953	5405
451	62075	62075	4965	5417
452	62202	62203	4974	5429
