N	num_bits	den_bits	lambda_bits	cancellation_g	g_factorization	v2_num	v3_g	u_num_mod_17	u_num_mod_19	u_num_mod_29	u_num_mod_31	u_num_mod_43	u_num_mod_59	u_num_mod_101	u_num_mod_251	u_num_mod_1009	u_lcd_mod_17	u_lcd_mod_19	u_lcd_mod_29	u_lcd_mod_31	u_lcd_mod_43	u_lcd_mod_59	u_lcd_mod_101	u_lcd_mod_251	u_lcd_mod_1009	code1	code2	code3	code4
839	80618	101225	101227	3	3	843	1	1	16	5	18	1	23	3	20	564	3	10	15	23	3	10	9	60	683	5	52	526	5261
840	80718	101350	101352	3	3	844	1	16	13	15	30	41	52	76	198	871	14	1	16	28	37	38	26	92	595	2	26	261	2619
841	80814	101471	101472	3	3	845	1	3	0	2	17	21	3	90	154	473	9	0	6	20	20	9	68	211	410	6	61	619	6193
842	80910	101591	101593	3	3	846	1	11	7	14	13	10	26	61	79	629	16	2	13	8	30	19	82	237	878	1	19	193	1931
843	81001	101707	101708	3	3	847	1	3	1	18	19	30	36	14	210	296	9	3	25	26	4	49	42	128	888	9	93	931	9311
844	81099	101829	101831	3	3	848	1	4	5	11	7	25	23	28	65	293	12	15	4	21	32	10	84	195	879	3	31	311	3118
845	81197	101952	101954	3	3	849	1	3	1	4	21	8	43	44	190	528	9	3	12	1	24	11	31	68	575	1	11	118	1188
846	81293	102072	102074	3	3	850	1	1	18	10	23	34	5	86	197	979	3	16	1	7	16	15	56	89	919	1	18	188	1881
847	81386	102191	102192	3	3	851	1	8	18	11	16	7	35	55	224	88	7	16	4	17	21	46	64	170	264	8	88	881	8817
848	81485	102313	102315	3	3	852	1	2	15	21	10	8	19	56	197	253	6	7	5	30	24	57	67	89	759	8	81	817	8171
849	81578	102431	102433	3	3	853	1	10	14	1	8	41	32	86	178	401	13	4	3	24	37	37	56	32	194	1	17	171	1710
850	81676	102554	102556	3	3	854	1	14	15	24	22	29	22	8	116	638	8	7	14	4	1	7	24	97	905	7	71	710	7101
851	81770	102672	102674	3	3	855	1	11	8	1	26	1	48	32	121	791	16	5	3	16	3	26	96	112	355	1	10	101	1010
852	81863	102790	102796	87	3*29	856	1	1	14	12	29	8	13	44	144	999	2	2	0	12	8	10	91	229	139	0	1	10	100
853	81964	102915	102917	3	3	857	1	9	12	24	30	37	26	60	233	756	10	17	14	28	25	19	79	197	250	1	10	100	1000
854	82057	103033	103035	3	3	858	1	8	5	9	8	7	46	61	232	91	7	15	27	24	21	20	82	194	273	0	0	0	3
855	82155	103156	103157	3	3	859	1	1	12	7	11	22	32	74	6	623	3	17	21	2	23	37	20	18	860	0	0	3	31
856	82243	103268	103270	3	3	860	1	9	12	8	4	28	31	87	38	462	10	17	24	12	41	34	59	114	377	0	3	31	313
857	82347	103396	103398	3	3	861	1	6	7	10	2	12	19	85	104	350	1	2	1	6	36	57	53	61	41	3	31	313	3137
858	82443	103517	103518	3	3	862	1	13	16	22	27	0	14	75	207	276	5	10	8	19	0	42	23	119	828	1	13	137	1378
859	82534	103633	103634	3	3	863	1	1	15	5	15	29	28	47	61	88	3	7	15	14	1	25	40	183	264	3	37	378	3783
860	82632	103755	103757	3	3	864	1	15	6	16	14	17	14	37	189	53	11	18	19	11	8	42	10	65	159	7	78	783	7838
861	82730	103878	103880	3	3	865	1	12	18	19	9	30	50	75	140	829	2	16	28	27	4	32	23	169	469	8	83	838	8387
862	82822	103994	104000	57	3*19	866	1	1	9	15	17	21	36	27	75	273	6	0	14	8	36	46	24	8	426	3	38	387	3875
863	82922	104119	104120	3	3	867	1	13	5	2	22	11	33	44	76	270	5	15	6	4	33	40	31	228	810	8	87	875	8752
