stream,N,L,forbidden_word,word_count_N,frequency_denominator,contained_sample_size,contaminated_starts,t15_integer_bound,bound_holds,forbidden_starts,contamination_fraction
iid,1000,2,0000,0,1000,999,0,0,true,999,0/999
iid,1000,2,0123,0,1000,999,0,0,true,999,0/999
iid,1000,4,0,94,1000,997,319,470,true,678,319/997
iid,1000,4,1,103,1000,997,352,515,true,645,352/997
iid,1000,4,00,11,1000,997,33,55,true,964,33/997
iid,1000,4,01,9,1000,997,27,45,true,970,27/997
iid,1000,4,11,11,1000,997,29,55,true,968,29/997
iid,1000,4,000,0,1000,997,0,0,true,997,0/997
iid,1000,4,001,2,1000,997,4,10,true,993,4/997
iid,1000,4,012,1,1000,997,2,5,true,995,2/997
iid,1000,4,123,2,1000,997,4,10,true,993,4/997
iid,1000,4,0000,0,1000,997,0,0,true,997,0/997
iid,1000,4,0123,0,1000,997,0,0,true,997,0/997
iid,1000,8,0,94,1000,993,516,846,true,477,516/993
iid,1000,8,1,103,1000,993,575,927,true,418,575/993
iid,1000,8,00,11,1000,993,77,99,true,916,77/993
iid,1000,8,01,9,1000,993,63,81,true,930,63/993
iid,1000,8,11,11,1000,993,58,99,true,935,58/993
iid,1000,8,000,0,1000,993,0,0,true,993,0/993
iid,1000,8,001,2,1000,993,12,18,true,981,12/993
iid,1000,8,012,1,1000,993,6,9,true,987,6/993
iid,1000,8,123,2,1000,993,12,18,true,981,12/993
iid,1000,8,0000,0,1000,993,0,0,true,993,0/993
iid,1000,8,0123,0,1000,993,0,0,true,993,0/993
iid,1000,16,0,94,1000,985,765,1598,true,220,765/985
iid,1000,16,1,103,1000,985,798,1751,true,187,798/985
iid,1000,16,00,11,1000,985,161,187,true,824,161/985
iid,1000,16,01,9,1000,985,135,153,true,850,135/985
iid,1000,16,11,11,1000,985,114,187,true,871,114/985
iid,1000,16,000,0,1000,985,0,0,true,985,0/985
iid,1000,16,001,2,1000,985,28,34,true,957,28/985
iid,1000,16,012,1,1000,985,14,17,true,971,14/985
iid,1000,16,123,2,1000,985,28,34,true,957,28/985
iid,1000,16,0000,0,1000,985,0,0,true,985,0/985
iid,1000,16,0123,0,1000,985,0,0,true,985,0/985
iid,1000,32,0,94,1000,969,937,3102,true,32,937/969
iid,1000,32,1,103,1000,969,915,3399,true,54,915/969
iid,1000,32,00,11,1000,969,317,363,true,652,317/969
iid,1000,32,01,9,1000,969,264,297,true,705,264/969
iid,1000,32,11,11,1000,969,182,363,true,787,182/969
iid,1000,32,000,0,1000,969,0,0,true,969,0/969
iid,1000,32,001,2,1000,969,60,66,true,909,60/969
iid,1000,32,012,1,1000,969,30,33,true,939,30/969
iid,1000,32,123,2,1000,969,60,66,true,909,60/969
iid,1000,32,0000,0,1000,969,0,0,true,969,0/969
iid,1000,32,0123,0,1000,969,0,0,true,969,0/969
iid,3000,1,0,280,3000,3000,280,560,true,2720,280/3000
iid,3000,1,1,308,3000,3000,308,616,true,2692,308/3000
iid,3000,1,00,28,3000,3000,0,56,true,3000,0/3000
iid,3000,1,01,28,3000,3000,0,56,true,3000,0/3000
iid,3000,1,11,27,3000,3000,0,54,true,3000,0/3000
iid,3000,1,000,3,3000,3000,0,6,true,3000,0/3000
iid,3000,1,001,4,3000,3000,0,8,true,3000,0/3000
iid,3000,1,012,2,3000,3000,0,4,true,3000,0/3000
iid,3000,1,123,6,3000,3000,0,12,true,3000,0/3000
iid,3000,1,0000,0,3000,3000,0,0,true,3000,0/3000
iid,3000,1,0123,0,3000,3000,0,0,true,3000,0/3000
iid,3000,2,0,280,3000,2999,531,840,true,2468,531/2999
iid,3000,2,1,308,3000,2999,589,924,true,2410,589/2999
iid,3000,2,00,28,3000,2999,28,84,true,2971,28/2999
iid,3000,2,01,28,3000,2999,28,84,true,2971,28/2999
iid,3000,2,11,27,3000,2999,27,81,true,2972,27/2999
iid,3000,2,000,3,3000,2999,0,9,true,2999,0/2999
iid,3000,2,001,4,3000,2999,0,12,true,2999,0/2999
iid,3000,2,012,2,3000,2999,0,6,true,2999,0/2999
iid,3000,2,123,6,3000,2999,0,18,true,2999,0/2999
iid,3000,2,0000,0,3000,2999,0,0,true,2999,0/2999
iid,3000,2,0123,0,3000,2999,0,0,true,2999,0/2999
iid,3000,4,0,280,3000,2997,953,1400,true,2044,953/2997
iid,3000,4,1,308,3000,2997,1064,1540,true,1933,1064/2997
