stream,N,L,sample_size,support_size,max_count,sum_squared_counts,collision_pairs,count_spectrum,exact_entropy_expression,entropy_nats,entropy_nats_per_digit,normalized_entropy_H_over_L_log10
t4_balanced,10000,32,9969,3612,3116,9725725,4857878,1:1423;2:1459;3:486;4:166;5:72;6:5;3116:1,ln(9969)-(1423*ln(1)+2918*ln(2)+1458*ln(3)+664*ln(4)+360*ln(5)+30*ln(6)+3116*ln(3116))/9969,6.173422162873683983438854345385,0.192919442589802624482464198293,0.083783849368602465800725942824
t2_sparse_island,1000,1,1000,6,995,990030,494515,1:5;995:1,ln(1000)-(5*ln(1)+995*ln(995))/1000,0.039526255509337245893148142084,0.039526255509337245893148142084,0.017166034658003172388148524753
t2_sparse_island,1000,2,999,11,989,978131,488566,1:10;989:1,ln(999)-(10*ln(1)+989*ln(989))/999,0.079096426321364048060818572631,0.039548213160682024030409286315,0.017175570744817765050038597270
t2_sparse_island,1000,4,997,19,979,958459,478731,1:18;979:1,ln(997)-(18*ln(1)+979*ln(979))/997,0.142549688680625025978151581881,0.035637422170156256494537895470,0.015477135797755471811166714373
t2_sparse_island,1000,8,993,35,959,919715,459361,1:34;959:1,ln(993)-(34*ln(1)+959*ln(959))/993,0.269925486992587241340687238942,0.033740685874073405167585904868,0.014653393690741077035118870044
t2_sparse_island,1000,16,985,67,919,844627,421821,1:66;919:1,ln(985)-(66*ln(1)+919*ln(919))/985,0.526550324984397106195545521986,0.032909395311524819137221595124,0.014292368786567976107846806469
t2_sparse_island,1000,32,969,101,869,755261,377146,1:100;869:1,ln(969)-(100*ln(1)+869*ln(869))/969,0.807305710078975022958122410730,0.025228303439967969467441325335,0.010956512971758915147174607972
t2_sparse_island,3000,1,3000,7,2994,8964042,4480521,1:6;2994:1,ln(3000)-(6*ln(1)+2994*ln(2994))/3000,0.018010733800632224683846241603,0.018010733800632224683846241603,0.007821962304642957713705412910
t2_sparse_island,3000,2,2999,13,2987,8922181,4459591,1:12;2987:1,ln(2999)-(12*ln(1)+2987*ln(2987))/2999,0.036028132729829372905742026242,0.018014066364914686452871013121,0.007823409618921418729865266398
t2_sparse_island,3000,4,2997,23,2975,8850647,4423825,1:22;2975:1,ln(2997)-(22*ln(1)+2975*ln(2975))/2997,0.066078455041155318622647545444,0.016519613760288829655661886361,0.007174377099266467006474711331
t2_sparse_island,3000,8,2993,43,2951,8708443,4352725,1:42;2951:1,ln(2993)-(42*ln(1)+2951*ln(2951))/2993,0.126252337970769697389767494995,0.015781542246346212173720936874,0.006853836713511209239467734881
t2_sparse_island,3000,16,2985,83,2903,8427491,4212253,1:82;2903:1,ln(2985)-(82*ln(1)+2903*ln(2903))/2985,0.246892581751827896292901310807,0.015430786359489243518306331925,0.006701505367354146420168231658
t2_sparse_island,3000,32,2969,148,2822,7963831,3980431,1:147;2822:1,ln(2969)-(147*ln(1)+2822*ln(2822))/2969,0.444159122231322354968573807023,0.013879972569728823592767931469,0.006027995496001726344316800490
t2_sparse_island,10000,1,10000,9,9992,99840072,49915036,1:8;9992:1,ln(10000)-(8*ln(1)+9992*ln(9992))/10000,0.008167952212213463129447776438,0.008167952212213463129447776438,0.003547296574213765594865050064
t2_sparse_island,10000,2,9999,17,9983,99660305,49825153,1:16;9983:1,ln(9999)-(16*ln(1)+9983*ln(9983))/9999,0.016336737449543469324417076193,0.008168368724771734662208538096,0.003547477463319466328171957955
t2_sparse_island,10000,4,9997,31,9967,99341119,49665561,1:30;9967:1,ln(9997)-(30*ln(1)+9967*ln(9967))/9997,0.030634805562695746206445562348,0.007658701390673936551611390587,0.003326131752514451543469474497
t2_sparse_island,10000,8,9993,59,9935,98704283,49347145,1:58;9935:1,ln(9993)-(58*ln(1)+9935*ln(9935))/9993,0.059240516656136626243662864019,0.007405064582017078280457858002,0.003215978686107227062529386881
